الباركود,"الاسم بالعربية","الاسم بالإنجليزية",السعر,"نوع التسعير",المخزون,القسم
208,شيدر,"Cheddar Cheese Sauce",70,قطعة,50,"صلصات وبقالة"
209,ثوميه,"Garlic Toumeya Sauce",55,قطعة,60,"صلصات وبقالة"
210,"تكساس برجر صغير","Small Texas Burger",40,قطعة,80,"صلصات وبقالة"
211,"تكساس برجر كبير","Large Texas Burger",75,قطعة,60,"صلصات وبقالة"
212,"سويت شيلي","Sweet Chili Sauce",75,قطعة,50,"صلصات وبقالة"
213,"مايونيز 1 كيلو","Mayonnaise 1 Kg Bottle",75,قطعة,40,"صلصات وبقالة"
214,"كاتشب 1 كيلو","Ketchup 1 Kg Bottle",45,قطعة,50,"صلصات وبقالة"
215,"مجموعه مائده","Maeda Meal Kit Combo",65,قطعة,30,"صلصات وبقالة"
216,"نوتيلا مكس","Nutella Mix Chocolate",105,قطعة,40,"صلصات وبقالة"
217,"كيس كريسبي","Crispy Batter Bag",20,قطعة,100,"صلصات وبقالة"
218,"خل لؤلؤ","Pearl Vinegar Bottle",15,قطعة,90,"صلصات وبقالة"
219,"خل طبخه","Cooking Vinegar Bottle",10,قطعة,120,"صلصات وبقالة"
220,"مرق عنب","Grape Vinegar Stock",40,قطعة,50,"صلصات وبقالة"
221,"ظروف صلصه","Sachets Sauce Pack",2.5,قطعة,300,"صلصات وبقالة"
222,"صلسه بست 400جم","Best Tomato Paste 400g",40,قطعة,80,"صلصات وبقالة"
223,"صلسه تافي زجاج","Tafi Glass Paste Bottle",20,قطعة,80,"صلصات وبقالة"
224,"صلسه سادور 2700جم","Sador Paste 2700g Can",200,قطعة,20,"صلصات وبقالة"
225,"صلسه سادور 800جم","Sador Paste 800g Can",65,قطعة,40,"صلصات وبقالة"
226,"صلسه سادور 400جم","Sador Paste 400g Can",35,قطعة,60,"صلصات وبقالة"
227,"صلسه يوسي 2700جم","UC Paste 2700g Can",135,قطعة,25,"صلصات وبقالة"
228,"بطاطس فارم 2.5ك","Farm Frites Fries 2.5kg",150,قطعة,60,مجمدات
229,"بطاطس فارم 1ك","Farm Frites Fries 1kg",75,قطعة,80,مجمدات
230,"دجاج شرائح 500جم","Chicken Strips Slice 500g",90,قطعة,50,مجمدات
231,"رومي شرائح 500جم","Turkey Strips Slice 500g",110,قطعة,40,مجمدات
232,"بقري شرائح 500جم","Beef Strips Slice 500g",120,قطعة,40,مجمدات
233,"سلامي 500جم","Salami Beef 500g Pack",130,قطعة,30,مجمدات
234,"توابل الشرق الاقصى","Far East Spices Mix",340,قطعة,50,"بهارات وتوابل"
235,"مرقه دجاج مكعبات","Chicken Broth Cubes Box",175,قطعة,40,"صلصات وبقالة"
236,"مرقه دجاج مسحوق","Chicken Broth Powder 1kg",220,قطعة,30,"صلصات وبقالة"
237,"تكساس برجر جالون","Texas Burger Gallon",670,قطعة,10,"صلصات وبقالة"
238,"رانش برجر جالون","Ranch Burger Gallon",490,قطعة,12,"صلصات وبقالة"
239,"صوص 1000 ايلند","Thousand Island Gallon",480,قطعة,10,"صلصات وبقالة"
240,"ملوخيه لذة","Laza Frozen Molokhia",15,قطعة,100,مجمدات
241,"ملوخيه مونتانا","Montana Frozen Molokhia",20,قطعة,80,مجمدات
242,"بسله جزر بسمه","Basma Peas & Carrots",30,قطعة,60,مجمدات
243,"ورق عنب مونتانا","Montana Grape Leaves",25,قطعة,50,مجمدات
244,"مصروده السلطان 1ك","Sultan Masrouda 1kg",15,قطعة,30,مجمدات
245,"مخروطه السلطان 1ك","Sultan Makhrouta 1kg",10,قطعة,35,مجمدات
246,"كسكسي السلطان 1ك","Sultan Couscous 1kg",40,قطعة,40,مجمدات
247,"جلاش السلطان","Sultan Goulash Pastry Roll",20,قطعة,60,مجمدات
